City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
303,Acajutla,SV,78.8,clear sky,13.5928,-89.8275,Laureles
304,Coari,BR,73.44,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
309,Puerto Leguizamo,CO,74.32,overcast clouds,-0.1934,-74.7819,la casona de juancho
311,Pochutla,MX,79.65,clear sky,15.7432,-96.4661,Hotel Posada San Jose
322,East London,ZA,65.64,clear sky,-33.0153,27.9116,Tu Casa
323,Vao,NC,77.92,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
325,Mogadishu,SO,75.06,overcast clouds,2.0371,45.3438,Hotel Juba
326,Maturin,VE,66.42,clear sky,9.75,-63.1767,Hotel Residencial La Pichincha
327,Chandur,IN,65.32,clear sky,19.7333,79.1833,Devasni Chit Funds P Ltd(SURYA)
328,Lashio,MM,68.11,clear sky,22.9333,97.75,Hotel CF Lashio - Burmese Only
329,Xuddur,SO,66.76,broken clouds,4.1213,43.8894,Banjanay Hotel
330,Acari,PE,70.93,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
331,Key West,US,73.4,overcast clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
333,Port Elizabeth,ZA,65.1,few clouds,-33.918,25.5701,39 On Nile Guest House
340,Richards Bay,ZA,72.88,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
342,Port-Gentil,GA,79.72,overcast clouds,-0.7193,8.7815,Fengshui Residence
346,Lugazi,UG,65.88,broken clouds,0.3772,32.9197,Dr Kalumba Moses
348,Araguacu,BR,70.18,overcast clouds,-12.9306,-49.8264,Hotel Tocantins
354,Agadir,MA,66.65,few clouds,30.4202,-9.5982,Iberostar Founty Beach
356,Gushikawa,JP,65.43,light rain,26.3544,127.8686,Kirari Guest House
365,Cabo San Lucas,MX,70.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
372,Kishi,NG,72.09,clear sky,9.0833,3.85,New NCCF KISI
376,Santarem,BR,77.13,moderate rain,-2.4431,-54.7083,Ecotur Lodge
380,Codo,BR,70.92,overcast clouds,-4.4553,-43.8856,Hotel Porto do Sol
382,Sao Joao Da Barra,BR,75.78,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
384,Waipawa,NZ,72.23,clear sky,-41.4122,175.5153,Tora Coastal Walk
385,Presidente Medici,BR,72.93,overcast clouds,-11.1753,-61.9014,Oliveira Palace Hotel
390,Chicama,PE,66.74,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
394,Soyo,AO,77.54,overcast clouds,-6.1349,12.3689,Hotel Mpampa
400,Magadi,IN,69.46,few clouds,12.9667,77.2333,Gowdru Military Hotel Magadi
404,Emiliano Zapata,MX,74.66,scattered clouds,18.8333,-99.1833,Parador De Manolos Hotel
406,Talara,PE,71.85,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
409,Luanda,AO,77.16,overcast clouds,-8.8368,13.2343,Hotel Fórum
412,Tecoanapa,MX,77.94,clear sky,16.5167,-98.75,Hotel Manglares
415,Tura,IN,65.91,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
416,Saquarema,BR,74.98,light rain,-22.92,-42.5103,Hotel Fazenda Sol e Lua
419,Tamandare,BR,77.43,moderate rain,-8.7597,-35.1047,Pousada 100 Passos
428,Masvingo,ZW,67.05,moderate rain,-20.0637,30.8277,River Side Lodge
435,Samana,DO,70.99,clear sky,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
436,Caravelas,BR,75.43,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
438,Viedma,AR,77.54,clear sky,-40.8135,-62.9967,Hotel Cristal
442,Oranjestad,AW,78.75,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
444,Kaeo,NZ,72.32,overcast clouds,-35.1,173.7833,Bushido Lodge
445,Coihaique,CL,66.81,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
446,Reconquista,AR,68.52,clear sky,-29.15,-59.65,Grand Hotel
453,Itarema,BR,73.74,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
454,Ahipara,NZ,74.93,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
458,Imbituba,BR,70.83,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
463,San Carlos De Bariloche,AR,65.95,clear sky,-41.1456,-71.3082,Hotel Patagonia
465,Malpe,IN,79.9,scattered clouds,13.35,74.7167,Hotel Sri Krishna Residency
485,Impfondo,CG,69.8,few clouds,1.6381,18.0667,Auberge La Place de Jules
