City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
215,Lake City,US,2022-01-29 00:27:11,30.1897,-82.6393,55.0,62,100,10.96
216,Saint-Leu,RE,2022-01-29 00:29:34,-21.15,55.2833,74.26,68,7,3.27
217,Salinas,US,2022-01-29 00:26:59,36.6777,-121.6555,71.96,21,0,12.66
218,Sokoni,TZ,2022-01-29 00:29:35,-6.4333,39.55,80.65,73,87,8.75
219,Egvekinot,RU,2022-01-29 00:29:35,66.3167,-179.1667,-5.04,88,32,1.81
220,Banda Aceh,ID,2022-01-29 00:29:35,5.5577,95.3222,78.08,85,17,5.12
221,Tommot,RU,2022-01-29 00:29:36,58.9564,126.2925,-4.11,94,100,9.31
222,Ilulissat,GL,2022-01-29 00:29:04,69.2167,-51.1,19.42,53,100,23.02
223,Emerald,AU,2022-01-29 00:29:36,-23.5333,148.1667,86.34,51,40,9.22
224,Wiesmoor,DE,2022-01-29 00:29:37,53.4167,7.7333,43.86,88,100,17.0
225,Roald,NO,2022-01-29 00:29:37,62.5833,6.1333,44.74,93,75,18.41
226,Clarence Town,AU,2022-01-29 00:29:37,-32.5833,151.7833,85.95,42,1,5.19
227,Mersing,MY,2022-01-29 00:29:38,2.4312,103.8405,71.51,94,20,4.61
228,Saquena,PE,2022-01-29 00:29:38,-4.6667,-73.5167,76.17,93,99,1.45
229,Eydhafushi,MV,2022-01-29 00:30:38,5.1033,73.0708,81.88,67,59,16.96
230,Inverness,GB,2022-01-29 00:29:25,57.4791,-4.224,56.79,78,100,13.0
231,Sorland,NO,2022-01-29 00:30:39,67.667,12.6934,33.17,72,100,29.59
232,Dayong,CN,2022-01-29 00:30:39,25.0209,118.2898,60.48,77,81,4.47
233,Phayakkhaphum Phisai,TH,2022-01-29 00:30:40,15.5163,103.1937,76.41,45,12,4.61
234,Mikhaylovka,RU,2022-01-29 00:30:40,50.06,43.2379,20.79,96,100,12.26
235,Katsuura,JP,2022-01-29 00:28:08,35.1333,140.3,44.19,70,100,7.85
236,Dudinka,RU,2022-01-29 00:30:41,69.4058,86.1778,-0.38,93,100,18.61
237,Bertoua,CM,2022-01-29 00:30:41,4.5833,13.6833,68.31,30,97,3.91
238,Kieta,PG,2022-01-29 00:30:41,-6.2167,155.6333,86.56,66,27,6.67
239,San Patricio,US,2022-01-29 00:30:42,28.017,-97.5169,56.53,45,0,7.49
240,Puerto Madryn,AR,2022-01-29 00:30:42,-42.7692,-65.0385,82.51,38,20,7.38
241,Zverinogolovskoye,RU,2022-01-29 00:30:42,54.4586,64.8542,5.67,90,100,4.97
242,La Rioja,ES,2022-01-29 00:30:43,42.25,-2.5,33.12,65,0,5.57
243,Erenhot,CN,2022-01-29 00:30:43,43.6475,111.9767,0.55,91,6,7.63
244,Belyy Yar,RU,2022-01-29 00:30:44,53.6039,91.3903,-7.71,68,75,0.0
245,Severo-Kurilsk,RU,2022-01-29 00:26:41,50.6789,156.125,23.63,74,100,28.27
246,Rudnaya Pristan,RU,2022-01-29 00:30:44,44.3614,135.8116,10.2,54,14,14.29
247,Cocobeach,GA,2022-01-29 00:30:45,1.0002,9.5823,79.07,80,100,0.49
248,Guerrero Negro,MX,2022-01-29 00:30:45,27.9769,-114.0611,69.48,32,6,6.35
249,Chuy,UY,2022-01-29 00:30:45,-33.6971,-53.4616,64.47,75,1,6.53
250,Carlsbad,US,2022-01-29 00:30:37,33.1581,-117.3506,74.01,20,0,3.0
251,Abilene,US,2022-01-29 00:28:26,32.4487,-99.7331,54.09,31,0,9.22
252,Manono,CD,2022-01-29 00:30:47,-7.3,27.4167,68.9,97,99,1.54
253,Hovd,MN,2022-01-29 00:30:47,48.0056,91.6419,-11.96,74,5,5.55
254,Macamic,CA,2022-01-29 00:30:48,48.7502,-78.9996,-16.37,96,24,5.35
255,Lobito,AO,2022-01-29 00:30:10,-12.3481,13.5456,77.11,84,100,3.49
256,Walvis Bay,NA,2022-01-29 00:30:48,-22.9575,14.5053,63.09,82,70,11.5
257,Sulangan,PH,2022-01-29 00:30:49,11.1373,123.7228,80.8,78,96,3.87
258,Miri,MY,2022-01-29 00:30:49,4.4148,114.0089,77.14,94,40,2.3
259,Jurado,CO,2022-01-29 00:30:49,7.1053,-77.7641,76.32,88,13,1.21
260,Nantucket,US,2022-01-29 00:30:50,41.2835,-70.0995,33.91,92,100,13.91
261,Victoria,HK,2022-01-29 00:29:56,22.2855,114.1577,65.32,90,83,8.01
262,Mega,ET,2022-01-29 00:30:50,4.05,38.3,61.99,32,85,6.85
263,Paysandu,UY,2022-01-29 00:30:51,-32.3214,-58.0756,71.6,60,0,7.67
264,Green River,US,2022-01-29 00:30:51,41.5286,-109.4662,36.0,67,0,3.78
265,Gillette,US,2022-01-29 00:30:51,44.2911,-105.5022,39.02,43,0,11.5
266,Bokoro,TD,2022-01-29 00:30:52,12.3807,17.0568,62.42,16,5,11.63
267,Yuryevets,RU,2022-01-29 00:30:52,57.3201,43.1041,11.79,93,98,10.2
268,Lavrentiya,RU,2022-01-29 00:30:53,65.5833,-171.0,-6.18,95,6,2.1
269,Chifeng,CN,2022-01-29 00:30:53,42.2683,118.9636,13.05,43,0,4.23
270,Norman Wells,CA,2022-01-29 00:30:36,65.282,-126.8329,-7.56,77,100,6.91
271,Kutum,SD,2022-01-29 00:29:48,14.2,24.6667,50.29,18,5,10.2
272,Aden,YE,2022-01-29 00:30:54,12.7794,45.0367,75.54,76,79,8.59
273,Nagato,JP,2022-01-29 00:30:54,34.3833,131.2,42.75,47,100,11.43
274,Upernavik,GL,2022-01-29 00:30:55,72.7868,-56.1549,5.31,72,100,4.25
275,Pinega,RU,2022-01-29 00:30:55,64.7001,43.3936,12.43,96,96,5.17
276,Campos Novos,BR,2022-01-29 00:31:55,-27.4017,-51.225,57.18,95,92,4.72
277,Spoleto,IT,2022-01-29 00:31:56,42.7448,12.7374,40.15,87,7,4.09
278,Silver City,US,2022-01-29 00:31:56,32.7701,-108.2803,42.76,26,0,5.01
279,Bushehr,IR,2022-01-29 00:31:57,28.9684,50.8385,55.49,54,0,11.5
280,Castro,BR,2022-01-29 00:31:57,-24.7911,-50.0119,59.18,98,100,9.95
281,Panorama,GR,2022-01-29 00:31:58,40.5878,23.0315,41.07,57,47,3.0
282,Hammerfest,NO,2022-01-29 00:31:58,70.6634,23.6821,19.85,86,20,1.14
283,Beira,MZ,2022-01-29 00:31:59,-19.8436,34.8389,77.09,94,20,3.44
284,Laguna,US,2022-01-29 00:31:59,38.421,-121.4238,64.69,46,0,1.01
285,Finschhafen,PG,2022-01-29 00:31:59,-6.6024,147.8681,79.86,86,100,9.46
286,Alekseyevskaya,RU,2022-01-29 00:32:00,50.2896,42.1845,20.73,96,100,12.48
287,Portland,US,2022-01-29 00:32:00,45.5234,-122.6762,50.59,57,40,1.99
288,Henties Bay,NA,2022-01-29 00:32:01,-22.116,14.2845,62.85,82,95,7.92
289,Sao Raimundo Nonato,BR,2022-01-29 00:32:01,-9.0153,-42.6994,70.0,94,100,4.16
290,Bubaque,GW,2022-01-29 00:29:58,11.2833,-15.8333,78.33,65,24,16.8
291,Mvuma,ZW,2022-01-29 00:32:01,-19.2792,30.5283,63.45,98,100,4.05
292,Mamlyutka,KZ,2022-01-29 00:32:02,54.9375,68.5394,2.26,96,100,5.91
293,Todos Santos,MX,2022-01-29 00:32:02,23.45,-110.2167,76.01,57,1,7.25
294,Laredo,US,2022-01-29 00:30:47,27.5064,-99.5075,57.85,44,0,5.75
